date,year,month,min_cfs,max_cfs,mean_cfs
1980-01,1980,01,320.0,425.0,369.03225806451616
1980-02,1980,02,400.0,510.0,455.3448275862069
1980-03,1980,03,420.0,540.0,476.4516129032258
1980-04,1980,04,490.0,3560.0,1637.0
1980-05,1980,05,3330.0,9450.0,4690.645161290323
1980-06,1980,06,3000.0,7700.0,5324.666666666667
1980-07,1980,07,1690.0,6520.0,3444.8387096774195
1980-08,1980,08,826.0,1630.0,1118.967741935484
1980-09,1980,09,662.0,896.0,772.0
1980-10,1980,10,585.0,787.0,670.9354838709677
1980-11,1980,11,400.0,777.0,607.9333333333333
1980-12,1980,12,470.0,700.0,563.5483870967741
1981-01,1981,01,375.0,500.0,431.7741935483871
1981-02,1981,02,270.0,670.0,412.85714285714283
1981-03,1981,03,520.0,744.0,625.6129032258065
1981-04,1981,04,569.0,1180.0,700.2666666666667
1981-05,1981,05,608.0,3070.0,1099.4193548387098
1981-06,1981,06,1740.0,7010.0,3598.3333333333335
1981-07,1981,07,938.0,2700.0,1583.1612903225807
1981-08,1981,08,557.0,850.0,656.2903225806451
1981-09,1981,09,402.0,560.0,469.06666666666666
1981-10,1981,10,411.0,655.0,547.9677419354839
1981-11,1981,11,390.0,570.0,506.73333333333335
1981-12,1981,12,410.0,555.0,486.0967741935484
1982-01,1982,01,385.0,480.0,437.2258064516129
1982-02,1982,02,350.0,525.0,438.92857142857144
1982-03,1982,03,440.0,1200.0,614.8709677419355
1982-04,1982,04,723.0,2170.0,1229.0
1982-05,1982,05,2130.0,6660.0,3677.7419354838707
1982-06,1982,06,2720.0,12600.0,6573.333333333333
1982-07,1982,07,5490.0,13200.0,7992.903225806452
1982-08,1982,08,1650.0,8050.0,3185.1612903225805
1982-09,1982,09,1200.0,2970.0,1645.3333333333333
1982-10,1982,10,1730.0,2940.0,2049.3548387096776
1982-11,1982,11,880.0,1760.0,1181.0
1982-12,1982,12,560.0,1100.0,850.0
1983-01,1983,01,500.0,640.0,543.3870967741935
1983-02,1983,02,430.0,630.0,531.25
1983-03,1983,03,550.0,1170.0,710.9677419354839
1983-04,1983,04,979.0,3630.0,1804.6333333333334
1983-05,1983,05,2110.0,7970.0,3460.967741935484
1983-06,1983,06,7410.0,11100.0,8496.333333333334
1983-07,1983,07,3440.0,8960.0,5886.774193548387
1983-08,1983,08,1930.0,3490.0,2642.2580645161293
1983-09,1983,09,1430.0,2180.0,1767.6666666666667
1983-10,1983,10,1340.0,1990.0,1746.774193548387
1983-11,1983,11,940.0,1520.0,1306.3333333333333
1983-12,1983,12,500.0,1100.0,866.1290322580645
1984-01,1984,01,390.0,700.0,604.516129032258
