date,year,month,min_cfs,max_cfs,mean_cfs
1985-10,1985,10,466.0,1230.0,762.741935483871
1985-11,1985,11,520.0,922.0,675.8666666666667
1985-12,1985,12,210.0,590.0,368.06451612903226
1986-01,1986,01,350.0,960.0,569.1935483870968
1986-02,1986,02,719.0,4400.0,1414.2857142857142
1986-03,1986,03,626.0,913.0,720.6451612903226
1986-04,1986,04,1020.0,1870.0,1355.0
1986-05,1986,05,1600.0,3330.0,2471.935483870968
1986-06,1986,06,2220.0,4090.0,3056.6666666666665
1986-07,1986,07,904.0,2480.0,1530.9354838709678
1986-08,1986,08,566.0,1010.0,750.3870967741935
1986-09,1986,09,580.0,711.0,641.2
1986-10,1986,10,622.0,1100.0,765.4516129032259
1986-11,1986,11,618.0,715.0,656.1333333333333
1986-12,1986,12,422.0,639.0,531.258064516129
1987-01,1987,01,250.0,761.0,452.4193548387097
1987-02,1987,02,538.0,1040.0,646.8928571428571
1987-03,1987,03,435.0,1470.0,746.0322580645161
1987-04,1987,04,555.0,2080.0,1077.4666666666667
1987-05,1987,05,1320.0,2510.0,2002.258064516129
1987-06,1987,06,505.0,1860.0,1127.3666666666666
1987-07,1987,07,408.0,810.0,543.2903225806451
1987-08,1987,08,392.0,1440.0,591.2258064516129
1987-09,1987,09,330.0,465.0,388.93333333333334
1987-10,1987,10,365.0,602.0,469.258064516129
1987-11,1987,11,380.0,567.0,501.03333333333336
1987-12,1987,12,217.0,692.0,446.4193548387097
1988-01,1988,01,300.0,820.0,567.258064516129
1988-02,1988,02,600.0,1150.0,865.9655172413793
1988-03,1988,03,441.0,1190.0,787.9354838709677
1988-04,1988,04,507.0,1170.0,823.2666666666667
1988-05,1988,05,960.0,2930.0,1675.1612903225807
1988-06,1988,06,844.0,2610.0,1675.1
1988-07,1988,07,312.0,899.0,541.4193548387096
1988-08,1988,08,301.0,495.0,358.4193548387097
1988-09,1988,09,269.0,530.0,387.56666666666666
1988-10,1988,10,412.0,471.0,437.96774193548384
1988-11,1988,11,350.0,522.0,464.3666666666667
1988-12,1988,12,250.0,385.0,318.93548387096774
1989-01,1989,01,240.0,490.0,344.6774193548387
1989-02,1989,02,210.0,620.0,427.32142857142856
1989-03,1989,03,450.0,1260.0,750.7096774193549
1989-04,1989,04,550.0,1200.0,775.8666666666667
1989-05,1989,05,668.0,1360.0,958.1290322580645
1989-06,1989,06,466.0,1270.0,876.3333333333334
1989-07,1989,07,184.0,634.0,338.1290322580645
1989-08,1989,08,197.0,497.0,370.1290322580645
1989-09,1989,09,143.0,375.0,252.4
1989-10,1989,10,277.0,426.0,362.5483870967742
1989-11,1989,11,320.0,443.0,400.8
1989-12,1989,12,182.0,435.0,309.19354838709677
1990-01,1990,01,220.0,470.0,327.4193548387097
1990-02,1990,02,260.0,728.0,469.64285714285717
