date,year,month,min_cfs,max_cfs,mean_cfs,median_cfs,Q25_cfs
1980-01,1980,01,95.0,143.0,124.16129032258064,127.0,112.0
1980-02,1980,02,59.0,135.0,89.06896551724138,85.0,64.0
1980-03,1980,03,62.0,1200.0,363.4516129032258,220.0,110.0
1980-04,1980,04,697.0,3660.0,1779.5333333333333,1355.0,1027.5
1980-05,1980,05,2880.0,5930.0,3952.2580645161293,3690.0,3305.0
1980-06,1980,06,832.0,3280.0,2203.7,2465.0,1517.5
1980-07,1980,07,26.0,2180.0,365.4516129032258,199.0,66.5
1980-08,1980,08,1.6,28.0,11.796774193548387,13.0,7.5
1980-09,1980,09,7.4,48.0,22.166666666666668,15.5,10.0
1980-10,1980,10,22.0,220.0,102.35483870967742,58.0,28.5
1980-11,1980,11,94.0,204.0,148.7,167.0,102.5
1980-12,1980,12,86.0,94.0,91.61290322580645,94.0,89.0
1981-01,1981,01,74.0,86.0,78.3225806451613,78.0,74.0
1981-02,1981,02,80.0,250.0,141.64285714285714,125.0,93.5
1981-03,1981,03,209.0,296.0,246.25806451612902,245.0,232.0
1981-04,1981,04,212.0,1100.0,599.6666666666666,660.0,254.75
1981-05,1981,05,760.0,3690.0,1548.2903225806451,1130.0,861.0
1981-06,1981,06,72.0,2450.0,1061.8333333333333,888.5,282.0
1981-07,1981,07,18.0,205.0,68.58064516129032,55.0,34.5
1981-08,1981,08,4.0,112.0,18.580645161290324,8.0,4.8
1981-09,1981,09,0.06,13.0,4.109,3.6,0.375
1981-10,1981,10,0.06,1080.0,264.81225806451613,185.0,153.5
1981-11,1981,11,100.0,250.0,155.53333333333333,153.5,136.25
1981-12,1981,12,105.0,173.0,145.2258064516129,150.0,128.0
1982-01,1982,01,128.0,128.0,128.0,128.0,128.0
1982-02,1982,02,128.0,145.0,129.25,128.0,128.0
1982-03,1982,03,150.0,407.0,287.5806451612903,280.0,253.5
1982-04,1982,04,269.0,2580.0,833.4666666666667,703.5,302.25
1982-05,1982,05,2240.0,5440.0,3205.483870967742,3110.0,2740.0
1982-06,1982,06,2540.0,3620.0,3046.3333333333335,3035.0,2852.5
1982-07,1982,07,274.0,2400.0,958.5483870967741,749.0,417.5
1982-08,1982,08,22.0,340.0,143.25806451612902,120.0,63.0
1982-09,1982,09,11.0,503.0,121.26666666666667,85.5,32.5
1982-10,1982,10,50.0,686.0,187.03225806451613,120.0,80.0
1982-11,1982,11,80.0,200.0,122.0,120.0,100.0
1982-12,1982,12,50.0,120.0,81.29032258064517,80.0,60.0
1983-01,1983,01,50.0,50.0,50.0,50.0,50.0
1983-02,1983,02,50.0,300.0,85.0,80.0,50.0
1983-03,1983,03,270.0,600.0,418.38709677419354,420.0,370.0
1983-04,1983,04,275.0,2250.0,735.9,365.0,315.25
1983-05,1983,05,1460.0,7100.0,3125.483870967742,2250.0,1945.0
1983-06,1983,06,3230.0,6450.0,4601.0,4575.0,3957.5
