,date,year,month,day,discharge_cfs
0,1980-01-01,1980,01,01,140.0
1,1980-01-02,1980,01,02,130.0
2,1980-01-03,1980,01,03,120.0
3,1980-01-04,1980,01,04,125.0
4,1980-01-05,1980,01,05,135.0
5,1980-01-06,1980,01,06,145.0
6,1980-01-07,1980,01,07,155.0
7,1980-01-08,1980,01,08,160.0
8,1980-01-09,1980,01,09,165.0
9,1980-01-10,1980,01,10,165.0
10,1980-01-11,1980,01,11,170.0
11,1980-01-12,1980,01,12,175.0
12,1980-01-13,1980,01,13,180.0
13,1980-01-14,1980,01,14,190.0
14,1980-01-15,1980,01,15,200.0
15,1980-01-16,1980,01,16,195.0
16,1980-01-17,1980,01,17,190.0
17,1980-01-18,1980,01,18,190.0
18,1980-01-19,1980,01,19,185.0
19,1980-01-20,1980,01,20,180.0
20,1980-01-21,1980,01,21,180.0
21,1980-01-22,1980,01,22,175.0
22,1980-01-23,1980,01,23,170.0
23,1980-01-24,1980,01,24,165.0
24,1980-01-25,1980,01,25,160.0
25,1980-01-26,1980,01,26,158.0
26,1980-01-27,1980,01,27,155.0
27,1980-01-28,1980,01,28,150.0
28,1980-01-29,1980,01,29,145.0
29,1980-01-30,1980,01,30,142.0
30,1980-01-31,1980,01,31,140.0
31,1980-02-01,1980,02,01,145.0
32,1980-02-02,1980,02,02,155.0
33,1980-02-03,1980,02,03,162.0
34,1980-02-04,1980,02,04,170.0
35,1980-02-05,1980,02,05,180.0
36,1980-02-06,1980,02,06,190.0
37,1980-02-07,1980,02,07,200.0
38,1980-02-08,1980,02,08,200.0
39,1980-02-09,1980,02,09,190.0
40,1980-02-10,1980,02,10,180.0
41,1980-02-11,1980,02,11,190.0
42,1980-02-12,1980,02,12,210.0
43,1980-02-13,1980,02,13,220.0
44,1980-02-14,1980,02,14,240.0
45,1980-02-15,1980,02,15,280.0
46,1980-02-16,1980,02,16,310.0
47,1980-02-17,1980,02,17,330.0
48,1980-02-18,1980,02,18,345.0
49,1980-02-19,1980,02,19,345.0
50,1980-02-20,1980,02,20,345.0
51,1980-02-21,1980,02,21,345.0
52,1980-02-22,1980,02,22,345.0
53,1980-02-23,1980,02,23,345.0
54,1980-02-24,1980,02,24,345.0
55,1980-02-25,1980,02,25,345.0
56,1980-02-26,1980,02,26,345.0
57,1980-02-27,1980,02,27,345.0
58,1980-02-28,1980,02,28,345.0
59,1980-02-29,1980,02,29,345.0
60,1980-03-01,1980,03,01,345.0
61,1980-03-02,1980,03,02,345.0
62,1980-03-03,1980,03,03,345.0
63,1980-03-04,1980,03,04,345.0
64,1980-03-05,1980,03,05,348.0
65,1980-03-06,1980,03,06,333.0
66,1980-03-07,1980,03,07,310.0
67,1980-03-08,1980,03,08,293.0
68,1980-03-09,1980,03,09,269.0
69,1980-03-10,1980,03,10,260.0
70,1980-03-11,1980,03,11,248.0
71,1980-03-12,1980,03,12,228.0
72,1980-03-13,1980,03,13,207.0
73,1980-03-14,1980,03,14,186.0
74,1980-03-15,1980,03,15,191.0
75,1980-03-16,1980,03,16,191.0
76,1980-03-17,1980,03,17,168.0
77,1980-03-18,1980,03,18,151.0
78,1980-03-19,1980,03,19,164.0
79,1980-03-20,1980,03,20,164.0
80,1980-03-21,1980,03,21,166.0
81,1980-03-22,1980,03,22,168.0
82,1980-03-23,1980,03,23,163.0
83,1980-03-24,1980,03,24,157.0
84,1980-03-25,1980,03,25,164.0
85,1980-03-26,1980,03,26,173.0
86,1980-03-27,1980,03,27,173.0
87,1980-03-28,1980,03,28,184.0
88,1980-03-29,1980,03,29,194.0
89,1980-03-30,1980,03,30,201.0
90,1980-03-31,1980,03,31,198.0
91,1980-04-01,1980,04,01,187.0
92,1980-04-02,1980,04,02,176.0
93,1980-04-03,1980,04,03,158.0
94,1980-04-04,1980,04,04,144.0
95,1980-04-05,1980,04,05,133.0
96,1980-04-06,1980,04,06,134.0
97,1980-04-07,1980,04,07,137.0
98,1980-04-08,1980,04,08,131.0
99,1980-04-09,1980,04,09,123.0
100,1980-04-10,1980,04,10,109.0
101,1980-04-11,1980,04,11,112.0
102,1980-04-12,1980,04,12,101.0
103,1980-04-13,1980,04,13,79.0
104,1980-04-14,1980,04,14,72.0
105,1980-04-15,1980,04,15,70.0
106,1980-04-16,1980,04,16,76.0
107,1980-04-17,1980,04,17,128.0
108,1980-04-18,1980,04,18,203.0
109,1980-04-19,1980,04,19,217.0
110,1980-04-20,1980,04,20,286.0
111,1980-04-21,1980,04,21,279.0
112,1980-04-22,1980,04,22,300.0
113,1980-04-23,1980,04,23,320.0
114,1980-04-24,1980,04,24,358.0
115,1980-04-25,1980,04,25,308.0
116,1980-04-26,1980,04,26,334.0
117,1980-04-27,1980,04,27,366.0
118,1980-04-28,1980,04,28,348.0
119,1980-04-29,1980,04,29,271.0
120,1980-04-30,1980,04,30,319.0
121,1980-05-01,1980,05,01,331.0
122,1980-05-02,1980,05,02,255.0
123,1980-05-03,1980,05,03,206.0
124,1980-05-04,1980,05,04,213.0
125,1980-05-05,1980,05,05,268.0
126,1980-05-06,1980,05,06,222.0
127,1980-05-07,1980,05,07,157.0
128,1980-05-08,1980,05,08,147.0
129,1980-05-09,1980,05,09,174.0
130,1980-05-10,1980,05,10,500.0
131,1980-05-11,1980,05,11,785.0
132,1980-05-12,1980,05,12,867.0
133,1980-05-13,1980,05,13,654.0
134,1980-05-14,1980,05,14,439.0
135,1980-05-15,1980,05,15,344.0
136,1980-05-16,1980,05,16,326.0
137,1980-05-17,1980,05,17,306.0
138,1980-05-18,1980,05,18,308.0
139,1980-05-19,1980,05,19,303.0
140,1980-05-20,1980,05,20,286.0
141,1980-05-21,1980,05,21,291.0
142,1980-05-22,1980,05,22,644.0
143,1980-05-23,1980,05,23,1190.0
144,1980-05-24,1980,05,24,1520.0
145,1980-05-25,1980,05,25,1320.0
146,1980-05-26,1980,05,26,1090.0
147,1980-05-27,1980,05,27,827.0
148,1980-05-28,1980,05,28,584.0
149,1980-05-29,1980,05,29,555.0
150,1980-05-30,1980,05,30,621.0
151,1980-05-31,1980,05,31,610.0
152,1980-06-01,1980,06,01,632.0
153,1980-06-02,1980,06,02,727.0
154,1980-06-03,1980,06,03,703.0
155,1980-06-04,1980,06,04,687.0
156,1980-06-05,1980,06,05,1070.0
157,1980-06-06,1980,06,06,1670.0
